org_name,prop_name,public_private,address,zip_code,energy_star_score,prop_type,floor_area,floor_area_parking,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalized_source_EUI,water_use
Minneapolis Public Schools,Sullivan Elementary,Public,3100 E 28th Street,55406,58,K-12 School,214421,0,1991,1729,76,81,135,140,1756
Minneapolis Public Schools,W. Harry Davis Academy Elementary,Public,1510 Glenwood Ave,55405,68,K-12 School,94282,0,1995,706,69,75,125,131,383
Minneapolis Public Schools,Waite Park Elementary,Public,1800 34th Ave S,55418,50,K-12 School,60083,0,1950,626,100,110,175,186,753
Minneapolis Public Schools,Wenonah Elementary,Public,5625 23rd Ave S,55417,62,K-12 School,44827,0,1952,414,106,115,161,170,438
Minneapolis Public Schools,Whittier Elementary,Public,315 West 26th Street,55404,80,K-12 School,142460,0,1997,959,57,59,111,113,1609
Minneapolis Public Schools,Wilder / Transition Plus,Public,3345 Chicago Ave,55407,51,K-12 School,205536,0,1975,1707,89,94,142,148,2872
Minneapolis Public Schools,Windom Elementary,Public,5821 Wentworth Ave S,55419,61,K-12 School,73618,0,1925,642,89,96,148,156,1007
Private,Private,Private,201 Chicago Ave S,55415,36,Office,62400,0,2012,971,115,118,251,252,708
Private,Private,Private,1011 Nicollet Mall,55403,68,Office,59479,0,1920,986,90,93,256,266,882
Private,Private,Private,4701 Beard Ave S,55410,0,Other,59172,0,1914,1622,157,160,427,428,163
Private,Private,Private,8 60Th St W,55419,76,Worship Facility,60640,62000,1959,268,50,54,77,81,674
Private,Private,Private,700 10Th Ave S,55415,89,Office,60528,0,1920,504,74,77,136,140,414
Private,Private,Private,805 2Nd Ave S,55402,31,Worship Facility,70000,18800,1953,575,77,84,138,144,419
Private,Private,Private,123 3Rd St N,55401,92,Office,182374,16696,1911,1629,56,58,141,140,2155
Private,Private,Private,700 Humboldt Ave N,55411,0,Pre-school/Daycare,58000,0,1991,515,81,89,148,156,2089
Private,Private,Private,700 3Rd St S,55415,63,Office,68047,11000,1902,602,89,96,150,157,236
Private,Private,Private,525 West 54th St,55419,4,K-12 School,85345,60000,1922,781,114,124,162,173,747
Private,Private,Private,920 Lake St E,55407,0,Restaurant,70000,0,1929,2345,263,267,544,547,3967
Private,Private,Private,560 6Th Ave N,55411,33,Office,56000,0,1984,1088,95,94,297,295,0
Private,Private,Private,3800 Pleasant Ave,55409,82,K-12 School,63260,10433,1935,303,58,64,84,91,894
Private,Private,Private,84 10th St S,55402,65,Office,63360,0,1914,752,85,86,189,190,3503
Private,Private,Private,1455 Lake St W,55408,61,Financial Office,65000,76704,1965,763,107,114,195,203,605
Private,Private,Private,233 Park Ave,55415,55,Office,52069,0,1909,943,121,126,287,295,1660
Private,Private,Private,2850 26Th Ave S,55406,0,Supermarket/Grocery Store,65130,0,1989,2711,256,262,653,658,1665
Private,Private,Private,300 Industrial Blvd,55413,0,Mixed Use Property,65400,91850,1971,303,37,41,76,79,1
Private,Private,Private,910 26Th St E,55407,44,Medical Office,61609,0,1986,985,112,114,254,255,842
Private,Private,Private,2800 Chicago Ave,55407,65,Medical Office,53750,0,1986,648,96,100,196,199,553
Private,Private,Private,2410 Irving Ave N,55411,93,K-12 School,47000,10000,1969,307,60,65,109,114,94
Private,Private,Private,4021 Thomas Ave N,55412,0,Other - Education,56963,0,1950,340,79,88,107,117,446
Private,Private,Private,1500 6Th St NE,55413,60,Mixed Use Property,51864,0,1965,362,69,75,118,123,1263
Private,Private,Private,1630 4Th St Ne,55413,87,K-12 School,68337,40000,1950,307,55,61,79,86,637
Private,Private,Private,2828 Chicago Ave,55407,1,Medical Office,56239,50000,2008,2096,182,182,570,570,1034
Private,Private,Private,5000 Oliver Ave N,55430,33,K-12 School,53446,0,1955,453,98,109,148,159,345
Private,Private,Private,300 Washington Ave s,55401,47,Hotel,165010,270000,2001,3186,182,194,324,335,7363
Private,Private,Private,5937 Nicollet Ave,55419,99,Supermarket/Grocery Store,66903,0,2008,3185,292,297,747,750,2297
Private,Private,Private,2123 Clinton Ave S,55404,97,K-12 School,50100,28000,1914,219,53,57,77,81,969
Private,Private,Private,2323 Riverside Ave S,55454,0,Indoor Arena,56000,0,1974,841,80,80,232,232,3
Private,Private,Private,1601 Hennepin Ave,55403,24,Worship Facility,56400,0,1908,375,65,69,112,117,1618
Private,Private,Private,323 Stinson Blvd,55413,1,Office,50826,0,1969,3856,400,403,1170,1171,1121
Private,Private,Private,112 19th Ave NE,55418,0,K-12 School,53450,25000,1975,293,52,57,92,97,494
Private,Private,Private,921 Washington Ave S,55415,82,Office,52516,0,1920,643,76,77,193,194,1454
Private,Private,Private,3100 Lake St W,55416,0,Office,54000,2200,1953,623,98,103,190,195,5
Private,Private,Private,2407 University Ave SE,55414,0,Hotel,52866,0,1984,597,55,57,173,179,3840
Private,Private,Private,2730 31St St E,55406,0,Worship Facility,52920,0,1923,161,35,39,53,56,216
Private,Private,Private,1450 Lake St W,55408,97,Supermarket/Grocery Store,53070,0,1939,1455,176,181,433,438,1725
Private,Private,Private,1917 Logan Ave S,55403,76,Worship Facility,53048,2000,1916,205,57,63,71,77,124
Private,Private,Private,17 Washington Ave N,55401,38,Bank Branch,56935,0,1969,768,87,91,213,217,252
Private,Private,Private,2400 Park Ave,55404,80,Office,58000,31000,2008,741,95,97,206,206,949
